series,seed,ok,keep,source,moves,level,lower_bound,ratio,seconds,id,generator,created_by,path
200,59,1,1,kociemba,45,5,28,1.61,0.014,20260913-002235-37a7,random_walk@1,beadmatch,puzzles\5\20260913-002235-37a7.txt
200,60,1,1,kociemba,33,4,19,1.74,0.018,20260913-002235-e124,random_walk@1,beadmatch,puzzles\4\20260913-002235-e124.txt
200,61,0,0,-,,,27,,5.278,,random_walk@1,beadmatch,
200,62,1,1,kociemba,35,4,26,1.35,0.026,20260913-002240-ee28,random_walk@1,beadmatch,puzzles\4\20260913-002240-ee28.txt
200,63,1,1,kociemba,31,4,26,1.19,0.016,20260913-002240-05ea,random_walk@1,beadmatch,puzzles\4\20260913-002240-05ea.txt
200,64,0,0,-,,,24,,5.193,,random_walk@1,beadmatch,
200,65,1,1,kociemba,31,4,23,1.35,0.014,20260913-002245-2254,random_walk@1,beadmatch,puzzles\4\20260913-002245-2254.txt
200,66,0,0,-,,,21,,5.194,,random_walk@1,beadmatch,
200,67,0,0,-,,,25,,5.055,,random_walk@1,beadmatch,
200,68,1,1,kociemba,50,5,26,1.92,0.008,20260913-002255-9dac,random_walk@1,beadmatch,puzzles\5\20260913-002255-9dac.txt
200,69,1,1,kociemba,25,3,20,1.25,0.022,20260913-002255-cea6,random_walk@1,beadmatch,puzzles\3\20260913-002255-cea6.txt
200,70,1,1,kociemba,46,5,24,1.92,0.015,20260913-002255-e168,random_walk@1,beadmatch,puzzles\5\20260913-002255-e168.txt
200,71,1,0,kociemba,67,,31,2.16,0.062,,random_walk@1,beadmatch,
200,72,1,1,kociemba,39,4,24,1.62,0.018,20260913-002255-c55d,random_walk@1,beadmatch,puzzles\4\20260913-002255-c55d.txt
200,73,0,0,-,,,24,,5.302,,random_walk@1,beadmatch,
200,74,1,1,kociemba,44,5,25,1.76,0.025,20260913-002301-441f,random_walk@1,beadmatch,puzzles\5\20260913-002301-441f.txt
200,75,1,1,kociemba,34,4,24,1.42,0.03,20260913-002301-fa4a,random_walk@1,beadmatch,puzzles\4\20260913-002301-fa4a.txt
200,76,0,0,-,,,24,,5.206,,random_walk@1,beadmatch,
200,77,0,0,-,,,23,,5.129,,random_walk@1,beadmatch,
200,78,1,0,kociemba,42,,19,2.21,0.014,,random_walk@1,beadmatch,
200,79,0,0,-,,,25,,5.324,,random_walk@1,beadmatch,
200,80,1,1,kociemba,41,5,23,1.78,0.013,20260913-002317-e4f0,random_walk@1,beadmatch,puzzles\5\20260913-002317-e4f0.txt
200,81,0,0,-,,,24,,5.37,,random_walk@1,beadmatch,
200,82,1,0,kociemba,67,,21,3.19,0.011,,random_walk@1,beadmatch,
200,83,0,0,-,,,23,,5.454,,random_walk@1,beadmatch,
200,84,1,1,kociemba,26,3,19,1.37,0.016,20260913-002327-8040,random_walk@1,beadmatch,puzzles\3\20260913-002327-8040.txt
200,85,1,1,kociemba,32,4,23,1.39,0.012,20260913-002327-800f,random_walk@1,beadmatch,puzzles\4\20260913-002327-800f.txt
200,86,0,0,-,,,26,,5.202,,random_walk@1,beadmatch,
200,87,0,0,-,,,24,,5.1,,random_walk@1,beadmatch,
200,88,0,0,-,,,23,,5.504,,random_walk@1,beadmatch,
200,89,1,1,kociemba,47,5,26,1.81,0.018,20260913-002343-a31e,random_walk@1,beadmatch,puzzles\5\20260913-002343-a31e.txt
200,90,0,0,-,,,24,,5.183,,random_walk@1,beadmatch,
200,91,1,1,kociemba,27,3,20,1.35,0.024,20260913-002348-922d,random_walk@1,beadmatch,puzzles\3\20260913-002348-922d.txt
200,92,0,0,-,,,20,,5.519,,random_walk@1,beadmatch,
200,93,1,1,kociemba,30,3,21,1.43,0.007,20260913-002354-00da,random_walk@1,beadmatch,puzzles\3\20260913-002354-00da.txt
200,94,0,0,-,,,21,,5.196,,random_walk@1,beadmatch,
200,95,1,0,kociemba,47,,20,2.35,0.013,,random_walk@1,beadmatch,
200,96,1,1,kociemba,49,5,25,1.96,0.095,20260913-002359-8c04,random_walk@1,beadmatch,puzzles\5\20260913-002359-8c04.txt
200,97,1,1,kociemba,26,3,21,1.24,0.014,20260913-002359-5cc2,random_walk@1,beadmatch,puzzles\3\20260913-002359-5cc2.txt
200,98,1,1,kociemba,37,4,21,1.76,0.018,20260913-002359-06c3,random_walk@1,beadmatch,puzzles\4\20260913-002359-06c3.txt
200,99,1,1,kociemba,47,5,25,1.88,0.007,20260913-002359-8d9e,random_walk@1,beadmatch,puzzles\5\20260913-002359-8d9e.txt
200,100,0,0,-,,,24,,5.375,,random_walk@1,beadmatch,
